taxa	pred_type	manual_est_range		type	typeSimple	meanA	meanB	meanC	A	B	sigAB	sigBC	sigAC	bloom	boundaries	boundariestwo
GQ340104.1.1392	freshRestricted	0 to 15	YES	freshBloom	freshRestricted	0.009875864	0.00245129	0	6	20	0.000138647	0.005953016	2.72E-05	fresh	9.474942429	
GQ347640.1.1407	brackishRestricted	10 to 13	YES	brackishRestricted	brackishRestricted	0	0.003006539	0.000131392	10	12	2.03E-11	5.14E-05	0.060808478	No	10	12
GQ347820.1.1372				marineRestricted	marineRestricted	2.75E-05	0.00421485	0.008283431	13	17	3.46E-12	0.048038034	2.50E-24	No	14.97122256	
GQ347854.1.1357	marineRestricted	21 to 35	YES	marineRestricted	marineRestricted	0	0.007355068	0.012691726	22.5	28	1.40E-28	0.165464139	3.70E-32	No	24.81265774	
GQ347899.1.1377				noclass	noclass	0	0.003132377	0	18.5	31	2.12E-13	0.0266525	1	No		
GQ348002.1.1402				brackishRestricted	brackishRestricted	0.00025494	0.012341553	0.000790514	14	16	2.50E-18	3.45E-07	0.385373463	No	14	16
GQ348036.1.1388	marineRestricted	30 to 35	YES	marineRestricted	marineRestricted	0	0.000912398	0.029578305	29	34	1.21E-06	8.46E-05	7.61E-44	No	33.84576567	
GQ348124.1.1373				brackishPeakHiToler	brackishRestricted	0.000874334	0.030849041	0.011227466	17	33	9.04E-33	0.001919649	5.12E-09	No	17	33
GQ348272.1.1379				marineRestricted	marineRestricted	0.00028475	0.030223276	0.14062242	32	34	1.79E-18	0.006960957	1.16E-27	No	33.57333585	
GQ348507.1.1380				brackishRestricted	brackishRestricted	0.00024474	0.007910492	0.000455912	16	20	5.10E-11	0.000601657	0.127623313	No	16	20
GQ348651.1.1352				brackishRestricted	brackishRestricted	0.000231948	0.017758259	0	14	16	3.85E-15	3.02E-09	0.134308864	No	14	16
GQ348655.1.1381				brackishRestricted	brackishRestricted	0.000181392	0.015184464	0.001913087	17	33	5.36E-33	0.000986864	4.46E-07	No	17	33
GQ348771.1.1345	brackishRestricted	25 to 34	 NO	noclass	noclass	0	0.005361101	0	25	34	2.86E-19	0.067654293	1	No		
GQ348789.1.1372				freshRestricted	freshRestricted	0.016822001	0.002084599	6.92E-05	3	5	0.086462384	7.93E-05	1.60E-12	No	3.240599277	
GQ349265.1.1375	marineRestricted	26 to 35	YES	marineRestricted	marineRestricted	0	0.002952969	0.03570714	25	34	1.21E-15	0.000601021	2.57E-42	No	33.25570294	
GQ350231.1.1372				marineRestricted	marineRestricted	0.000352081	0.017884558	0.103296487	32	34	2.97E-20	0.007107019	3.83E-22	No	33.6593797	
GQ350651.1.1353				brackishRestricted	brackishRestricted	0.008804673	0.027655924	0.007598185	7	9	2.40E-06	3.81E-08	0.449200111	No	7	9
GQ441355.1.1443				brackishRestricted	brackishRestricted	0.00109818	0.012158115	0.001366167	6	8	0.000110219	9.46E-08	0.406683528	No	6	8
GU061061.1.1383				marineRestricted	marineRestricted	0.000141597	0.003568946	0.001071313	18.5	25	1.68E-09	0.046278555	0.000406204	No	18.5	
